,Image_id,Image_name,Processing
0,0,ROI001_XY1657814108_Z00_T0_merged.tif,successful
1,1,ROI002_XY1657815441_Z00_T0_merged.tif,successful
2,2,ROI003_XY1657814110_Z00_T0_merged.tif,successful
3,3,ROI004_XY1657814111_Z00_T0_merged.tif,successful
4,4,ROI005_XY1657814112_Z00_T0_merged.tif,successful
5,5,ROI006_XY1657814113_Z00_T0_merged.tif,successful
6,6,ROI007_XY1657814114_Z00_T0_merged.tif,successful
7,7,ROI008_XY1657814115_Z00_T0_merged.tif,successful
8,8,ROI009_XY1657814116_Z00_T0_merged.tif,successful
9,9,ROI010_XY1657814117_Z00_T0_merged.tif,successful
10,10,ROI011_XY1657814118_Z00_T0_merged.tif,successful
11,11,ROI012_XY1657814119_Z00_T0_merged.tif,successful
