cell_id,size,number_of_spots,ts_size
0,7733,478,20
1,5166,307,56
2,5471,290,20
3,5454,293,75
4,5888,317,51
5,5140,195,25
6,4348,232,36
7,4645,276,60
8,5293,301,24
9,5788,187,20
10,4276,315,40
11,6177,215,48
12,4729,286,83
13,5986,317,24
14,7341,249,73
15,7037,249,50
16,5381,244,87
17,6291,242,49
18,5405,129,0
19,5829,307,44
20,2981,231,76
21,5658,265,28
22,6833,166,0
23,6376,233,10
24,6129,196,0
25,5182,248,52
26,5439,168,70
27,4785,238,0
28,6391,265,87
29,5453,206,14
30,4752,210,0
31,6488,350,24
32,5902,184,50
33,6051,174,60
34,5828,308,0
35,4940,251,0
36,5920,274,71
37,6333,125,0
38,6456,99,0
39,5349,52,0
40,6188,380,56
41,6724,296,55
42,6505,134,35
43,4834,180,29
44,5509,229,31
45,5369,286,88
46,6448,377,52
47,6389,309,62
48,5870,322,14
49,6932,306,18
50,6530,182,40
51,6643,129,18
52,5010,308,59
53,7813,313,11
54,7371,415,0
55,5608,129,0
56,6568,423,65
57,7083,279,30
58,7115,374,143
59,7748,179,41
60,5931,94,46
61,6210,261,0
62,5945,443,0
63,5685,425,30
64,7255,122,32
65,6290,315,0
66,6948,118,30
67,5473,273,41
68,6553,434,128
69,6291,208,66
70,5966,139,0
71,3863,230,40
72,4262,144,37
73,6202,226,86
74,7173,278,67
75,6470,333,56
76,8427,265,50
77,4731,65,0
78,5552,173,20
79,7970,266,67
80,5324,213,27
81,5387,384,56
82,5492,280,31
83,7048,283,92
84,5750,211,23
85,6311,117,0
86,7632,482,87
87,6684,206,16
88,7723,221,0
89,8138,233,16
